unitid,year,pell_share
151306,2009,33.0
151324,2009,41.0
151333,2009,33.0
151342,2009,41.0
151351,2009,18.0
151360,2009,38.0
151379,2009,37.0
151388,2009,51.0
151458,2009,65.0
151467,2009,68.0
151494,2009,78.0
151500,2009,76.0
151519,2009,71.0
151537,2009,38.0
151564,2009,76.0
151607,2009,40.0
151616,2009,81.0
151625,2009,69.0
151652,2009,84.0
151661,2009,65.0
151777,2009,41.0
151786,2009,44.0
151801,2009,41.0
151810,2009,79.0
151829,2009,70.0
151874,2009,70.0
151944,2009,77.0
151962,2009,58.0
152044,2009,87.0
152080,2009,12.0
152099,2009,35.0
152150,2009,91.0
152220,2009,68.0
152248,2009,37.0
152266,2009,38.0
152275,2009,88.0
152309,2009,96.0
152318,2009,17.0
152327,2009,95.0
152336,2009,39.0
152363,2009,38.0
152381,2009,55.0
152390,2009,25.0
152415,2009,66.0
152424,2009,73.0
152497,2009,36.0
152530,2009,22.0
152567,2009,41.0
152600,2009,27.0
152628,2009,13.0
152637,2009,55.0
152673,2009,21.0
152798,2009,100.0
152822,2009,46.0
152992,2009,44.0
153001,2009,44.0
153074,2009,68.0
153083,2009,60.0
153092,2009,90.0
153108,2009,28.0
153126,2009,36.0
153144,2009,22.0
153162,2009,26.0
153171,2009,92.0
153214,2009,44.0
153241,2009,22.0
153250,2009,34.0
153269,2009,16.0
153278,2009,55.0
153296,2009,55.0
153302,2009,41.0
153311,2009,50.0
153320,2009,56.0
153339,2009,53.0
153366,2009,38.0
153375,2009,36.0
153384,2009,20.0
153409,2009,72.0
153418,2009,58.0
153427,2009,66.0
153445,2009,45.0
153463,2009,53.0
153472,2009,59.0
153524,2009,48.0
153533,2009,50.0
153542,2009,27.0
153588,2009,88.0
153597,2009,79.0
153603,2009,21.0
153621,2009,62.0
153630,2009,49.0
153658,2009,15.0
153737,2009,47.0
153746,2009,58.0
153764,2009,62.0
153773,2009,72.0
153782,2009,66.0
153825,2009,21.0
153834,2009,19.0
153861,2009,59.0
153922,2009,49.0
153977,2009,38.0
154004,2009,37.0
154013,2009,40.0
154022,2009,71.0
154059,2009,44.0
154095,2009,20.0
154101,2009,30.0
154110,2009,56.0
154129,2009,42.0
154165,2009,86.0
