unitid,adoption_year,cohort,n_years_pre,ever_required
139311,2022,post,13,1
139348,,never,0,0
139366,2020,covid,11,1
139393,2021,covid,12,1
139463,,never,0,1
139579,,never,0,1
139621,,never,0,0
139630,2021,covid,12,1
139658,2021,covid,12,1
139700,,never,0,1
139719,,never,0,1
139755,,never,0,1
139764,,never,0,1
139861,,never,0,1
139931,2020,covid,11,1
139940,2020,covid,11,1
139959,2021,covid,12,1
139968,2022,post,13,1
140146,,never,0,0
140234,,never,0,1
140252,2020,covid,11,1
140340,,never,0,1
140447,2020,covid,11,1
140553,2020,covid,11,1
140562,,never,0,0
140696,2020,covid,11,1
140720,,never,0,1
140818,2022,post,13,1
140872,2022,post,13,1
140951,2022,post,13,1
140960,,never,0,1
140988,2021,covid,12,1
141060,,never,0,1
141167,2021,covid,9,1
141185,2020,covid,11,1
141237,2021,covid,12,1
141264,,never,0,1
141325,2020,covid,10,1
141334,,never,0,1
141361,2019,pre_covid,10,1
141486,2020,covid,11,1
141565,2020,covid,11,1
141574,2020,covid,11,1
141644,2020,covid,11,1
141839,,never,0,0
141963,,never,0,0
141981,2017,pre_covid,8,1
142090,2021,covid,12,1
142115,,never,0,1
142276,,never,0,0
142285,2021,covid,12,1
142294,2020,covid,11,1
142328,2022,post,13,1
142461,2021,covid,9,1
142522,2022,post,13,1
142559,,never,0,0
142832,,never,0,0
142887,,never,0,0
142957,2021,covid,5,1
143048,,never,0,1
143084,2022,post,13,1
143118,2021,covid,12,1
143233,,never,0,0
143288,2021,covid,12,1
143297,,never,0,0
143358,2020,covid,11,1
143659,,never,0,0
143853,,never,0,0
143978,,never,0,0
144005,2022,post,13,1
144014,,never,0,0
144050,2018,pre_covid,9,1
144281,,never,0,1
144351,2020,covid,11,1
144740,2022,post,13,1
144777,,never,0,0
144883,,never,0,0
144892,2021,covid,12,1
144962,2021,covid,12,1
144971,2020,covid,11,1
145275,,never,0,0
145336,2021,covid,7,1
145372,2020,covid,11,1
145497,2018,pre_covid,9,1
145558,,never,0,0
145600,2021,covid,12,1
145619,2021,covid,10,1
145628,,never,0,0
145637,2021,covid,12,1
145646,2022,post,13,1
145691,2021,covid,12,1
145725,2021,covid,12,1
145813,2020,covid,11,1
145886,,never,0,0
146339,2020,covid,11,1
146427,2019,pre_covid,10,1
146481,2021,covid,12,1
146490,,never,0,0
146533,,never,0,0
146612,2020,covid,11,1
146667,,never,0,1
146676,2017,pre_covid,8,1
146719,2021,covid,12,1
146728,,never,0,0
146755,,never,0,1
146977,,never,0,0
147013,,never,0,1
147031,,never,0,0
147129,2022,post,12,1
147244,2020,covid,11,1
147341,2019,pre_covid,10,1
147369,2019,pre_covid,10,1
147536,,never,0,1
147590,,never,0,0
147660,2021,covid,12,1
147679,2020,covid,11,1
147697,,never,0,0
147703,,never,0,1
147767,2021,covid,12,1
147776,2020,covid,11,1
147828,2020,covid,11,1
148016,2021,covid,12,1
148131,2021,covid,12,1
148405,2021,covid,12,1
148487,2021,covid,12,1
148496,2021,covid,12,1
148511,,never,0,0
148575,,never,0,0
148584,2020,covid,11,1
148593,,never,0,0
148627,2021,covid,12,1
148654,2020,covid,11,1
148876,,never,0,0
148885,,never,0,0
148982,,never,0,0
149028,,never,0,0
149222,2020,covid,11,1
149231,2021,covid,12,1
149240,,never,0,0
149329,,never,0,0
149505,2021,covid,12,1
149514,2020,covid,11,1
149587,,never,0,0
149639,2020,covid,11,1
149763,,never,0,0
149772,,never,0,1
149781,2020,covid,11,1
150066,2020,covid,11,1
150136,2021,covid,12,1
150145,2022,post,12,1
150163,2020,covid,11,1
150172,,never,0,1
150215,,never,0,0
150288,,never,0,0
150400,2019,pre_covid,10,1
150455,2017,pre_covid,8,1
150534,2017,pre_covid,8,1
150604,2020,covid,11,1
150668,2020,covid,11,1
150677,2020,covid,11,1
150756,2017,pre_covid,8,1
150774,2021,covid,12,1
150941,2020,covid,11,1
151102,2021,covid,12,1
151111,2020,covid,11,1
151263,2020,covid,11,1
151290,,never,0,1
151306,2021,covid,12,1
151324,,never,0,1
151333,2021,covid,12,1
151342,2020,covid,11,1
151351,2020,covid,11,1
151360,2020,covid,11,1
151379,2020,covid,11,1
151388,2020,covid,11,1
151777,2016,pre_covid,7,1
151786,,never,0,1
151801,2021,covid,12,1
151810,,never,0,0
151865,,never,0,0
151962,,never,0,0
152080,2020,covid,11,1
152099,,never,0,1
152318,2021,covid,12,1
152336,2020,covid,11,1
152381,2019,pre_covid,10,1
152390,2019,pre_covid,10,1
152451,,never,0,0
152530,2022,post,13,1
152567,2020,covid,11,1
152600,2020,covid,11,1
152637,,never,0,0
152673,2020,covid,11,1
152798,,never,0,1
152992,,never,0,1
153001,2021,covid,12,1
153108,2020,covid,11,1
153126,2020,covid,11,1
153144,,never,0,1
153162,2016,pre_covid,7,1
153241,2022,post,13,1
153250,2020,covid,11,1
