corpus,family,protocol,dimension,group,metric,value,ci_lo,ci_hi,n
ellipse,tfidf,oof,SES,Economically disadvantaged,mean_human,3.0919,,,4507
ellipse,tfidf,oof,SES,Economically disadvantaged,mean_machine,3.1104,,,4507
ellipse,tfidf,oof,SES,Economically disadvantaged,mean_gap,0.0186,,,4507
ellipse,tfidf,oof,SES,Economically disadvantaged,smd,0.0351,,,4507
ellipse,tfidf,oof,SES,Economically disadvantaged,qwk,0.5911,,,4507
ellipse,tfidf,oof,SES,Economically disadvantaged,exact,0.4138,,,4507
ellipse,tfidf,oof,SES,Economically disadvantaged,pearson_r,0.6591,,,4507
ellipse,tfidf,oof,SES,Economically disadvantaged,rmse,0.4656,,,4507
ellipse,tfidf,oof,SES,Economically disadvantaged - Not economically disadvantaged,raw_differential,0.0298,0.0055,0.0521,4507
ellipse,tfidf,oof,SES,Economically disadvantaged - Not economically disadvantaged,conditional_differential,0.0054,-0.0106,0.0223,4507
ellipse,tfidf,oof,gender,Male,mean_human,3.0743,,,3636
ellipse,tfidf,oof,gender,Male,mean_machine,3.0847,,,3636
ellipse,tfidf,oof,gender,Male,mean_gap,0.0104,,,3636
ellipse,tfidf,oof,gender,Male,smd,0.0196,,,3636
ellipse,tfidf,oof,gender,Male,qwk,0.5958,,,3636
ellipse,tfidf,oof,gender,Male,exact,0.4233,,,3636
ellipse,tfidf,oof,gender,Male,pearson_r,0.6641,,,3636
ellipse,tfidf,oof,gender,Male,rmse,0.4653,,,3636
ellipse,tfidf,oof,gender,Female,mean_human,3.1428,,,2846
ellipse,tfidf,oof,gender,Female,mean_machine,3.1512,,,2846
ellipse,tfidf,oof,gender,Female,mean_gap,0.0083,,,2846
ellipse,tfidf,oof,gender,Female,smd,0.0149,,,2846
ellipse,tfidf,oof,gender,Female,qwk,0.6077,,,2846
ellipse,tfidf,oof,gender,Female,exact,0.3978,,,2846
ellipse,tfidf,oof,gender,Female,pearson_r,0.6772,,,2846
ellipse,tfidf,oof,gender,Female,rmse,0.4811,,,2846
ellipse,tfidf,oof,gender,Female - Male,raw_differential,-0.0021,-0.0245,0.022,2846
ellipse,tfidf,oof,gender,Female - Male,conditional_differential,0.0375,0.0217,0.0535,2846
ellipse,tfidf,oof,race_ethnicity,White,mean_human,3.1624,,,471
ellipse,tfidf,oof,race_ethnicity,White,mean_machine,3.1519,,,471
ellipse,tfidf,oof,race_ethnicity,White,mean_gap,-0.0105,,,471
ellipse,tfidf,oof,race_ethnicity,White,smd,-0.0184,,,471
ellipse,tfidf,oof,race_ethnicity,White,qwk,0.6103,,,471
ellipse,tfidf,oof,race_ethnicity,White,exact,0.4183,,,471
ellipse,tfidf,oof,race_ethnicity,White,pearson_r,0.6818,,,471
ellipse,tfidf,oof,race_ethnicity,White,rmse,0.4921,,,471
ellipse,tfidf,oof,race_ethnicity,Hispanic/Latino,mean_human,3.0659,,,4635
ellipse,tfidf,oof,race_ethnicity,Hispanic/Latino,mean_machine,3.0813,,,4635
ellipse,tfidf,oof,race_ethnicity,Hispanic/Latino,mean_gap,0.0154,,,4635
ellipse,tfidf,oof,race_ethnicity,Hispanic/Latino,smd,0.0284,,,4635
ellipse,tfidf,oof,race_ethnicity,Hispanic/Latino,qwk,0.6104,,,4635
ellipse,tfidf,oof,race_ethnicity,Hispanic/Latino,exact,0.4151,,,4635
ellipse,tfidf,oof,race_ethnicity,Hispanic/Latino,pearson_r,0.6747,,,4635
ellipse,tfidf,oof,race_ethnicity,Hispanic/Latino,rmse,0.4652,,,4635
ellipse,tfidf,oof,race_ethnicity,Black/African American,mean_human,3.1951,,,515
ellipse,tfidf,oof,race_ethnicity,Black/African American,mean_machine,3.1972,,,515
ellipse,tfidf,oof,race_ethnicity,Black/African American,mean_gap,0.0021,,,515
ellipse,tfidf,oof,race_ethnicity,Black/African American,smd,0.004,,,515
ellipse,tfidf,oof,race_ethnicity,Black/African American,qwk,0.5291,,,515
ellipse,tfidf,oof,race_ethnicity,Black/African American,exact,0.3845,,,515
ellipse,tfidf,oof,race_ethnicity,Black/African American,pearson_r,0.606,,,515
ellipse,tfidf,oof,race_ethnicity,Black/African American,rmse,0.4948,,,515
ellipse,tfidf,oof,race_ethnicity,Asian/Pacific Islander,mean_human,3.2298,,,792
ellipse,tfidf,oof,race_ethnicity,Asian/Pacific Islander,mean_machine,3.2256,,,792
ellipse,tfidf,oof,race_ethnicity,Asian/Pacific Islander,mean_gap,-0.0042,,,792
ellipse,tfidf,oof,race_ethnicity,Asian/Pacific Islander,smd,-0.0079,,,792
ellipse,tfidf,oof,race_ethnicity,Asian/Pacific Islander,qwk,0.5666,,,792
ellipse,tfidf,oof,race_ethnicity,Asian/Pacific Islander,exact,0.4129,,,792
ellipse,tfidf,oof,race_ethnicity,Asian/Pacific Islander,pearson_r,0.6563,,,792
ellipse,tfidf,oof,race_ethnicity,Asian/Pacific Islander,rmse,0.4866,,,792
ellipse,tfidf,oof,race_ethnicity,Hispanic/Latino - White,raw_differential,0.0259,-0.0232,0.0718,4635
ellipse,tfidf,oof,race_ethnicity,Hispanic/Latino - White,conditional_differential,-0.0251,-0.0562,0.007,4635
ellipse,tfidf,oof,race_ethnicity,Black/African American - White,raw_differential,0.0126,-0.0445,0.0731,515
ellipse,tfidf,oof,race_ethnicity,Black/African American - White,conditional_differential,0.0276,-0.0128,0.0685,515
ellipse,tfidf,oof,race_ethnicity,Asian/Pacific Islander - White,raw_differential,0.0063,-0.0476,0.0601,792
ellipse,tfidf,oof,race_ethnicity,Asian/Pacific Islander - White,conditional_differential,0.0434,0.006,0.0772,792
ellipse,tfidf,lopo,SES,Not economically disadvantaged,mean_human,3.133,,,1974
ellipse,tfidf,lopo,SES,Not economically disadvantaged,mean_machine,3.1042,,,1974
ellipse,tfidf,lopo,SES,Not economically disadvantaged,mean_gap,-0.0287,,,1974
ellipse,tfidf,lopo,SES,Not economically disadvantaged,smd,-0.0498,,,1974
ellipse,tfidf,lopo,SES,Not economically disadvantaged,qwk,0.6098,,,1974
ellipse,tfidf,lopo,SES,Not economically disadvantaged,exact,0.3926,,,1974
ellipse,tfidf,lopo,SES,Not economically disadvantaged,pearson_r,0.6814,,,1974
ellipse,tfidf,lopo,SES,Not economically disadvantaged,rmse,0.4966,,,1974
ellipse,tfidf,lopo,SES,Economically disadvantaged,mean_human,3.0919,,,4507
ellipse,tfidf,lopo,SES,Economically disadvantaged,mean_machine,3.0978,,,4507
ellipse,tfidf,lopo,SES,Economically disadvantaged,mean_gap,0.0059,,,4507
ellipse,tfidf,lopo,SES,Economically disadvantaged,smd,0.0112,,,4507
ellipse,tfidf,lopo,SES,Economically disadvantaged,qwk,0.5758,,,4507
ellipse,tfidf,lopo,SES,Economically disadvantaged,exact,0.402,,,4507
ellipse,tfidf,lopo,SES,Economically disadvantaged,pearson_r,0.6362,,,4507
ellipse,tfidf,lopo,SES,Economically disadvantaged,rmse,0.4781,,,4507
ellipse,tfidf,lopo,SES,Economically disadvantaged - Not economically disadvantaged,raw_differential,0.0347,0.0074,0.0623,4507
ellipse,tfidf,lopo,SES,Economically disadvantaged - Not economically disadvantaged,conditional_differential,0.0099,-0.0076,0.0277,4507
ellipse,tfidf,lopo,gender,Male,mean_human,3.0743,,,3636
ellipse,tfidf,lopo,gender,Male,mean_machine,3.07,,,3636
ellipse,tfidf,lopo,gender,Male,mean_gap,-0.0043,,,3636
ellipse,tfidf,lopo,gender,Male,smd,-0.0081,,,3636
ellipse,tfidf,lopo,gender,Male,qwk,0.5827,,,3636
ellipse,tfidf,lopo,gender,Male,exact,0.4103,,,3636
ellipse,tfidf,lopo,gender,Male,pearson_r,0.6483,,,3636
ellipse,tfidf,lopo,gender,Male,rmse,0.4743,,,3636
ellipse,tfidf,lopo,gender,Female,mean_human,3.1428,,,2846
ellipse,tfidf,lopo,gender,Female,mean_machine,3.1379,,,2846
ellipse,tfidf,lopo,gender,Female,mean_gap,-0.0049,,,2846
ellipse,tfidf,lopo,gender,Female,smd,-0.0088,,,2846
ellipse,tfidf,lopo,gender,Female,qwk,0.5893,,,2846
ellipse,tfidf,lopo,gender,Female,exact,0.3848,,,2846
ellipse,tfidf,lopo,gender,Female,pearson_r,0.6523,,,2846
ellipse,tfidf,lopo,gender,Female,rmse,0.4957,,,2846
ellipse,tfidf,lopo,gender,Female - Male,raw_differential,-0.0006,-0.0254,0.0237,2846
ellipse,tfidf,lopo,gender,Female - Male,conditional_differential,0.0396,0.0241,0.0557,2846
ellipse,tfidf,lopo,race_ethnicity,White,mean_human,3.1624,,,471
ellipse,tfidf,lopo,race_ethnicity,White,mean_machine,3.1265,,,471
ellipse,tfidf,lopo,race_ethnicity,White,mean_gap,-0.036,,,471
ellipse,tfidf,lopo,race_ethnicity,White,smd,-0.0635,,,471
ellipse,tfidf,lopo,race_ethnicity,White,qwk,0.5889,,,471
ellipse,tfidf,lopo,race_ethnicity,White,exact,0.4055,,,471
ellipse,tfidf,lopo,race_ethnicity,White,pearson_r,0.6574,,,471
ellipse,tfidf,lopo,race_ethnicity,White,rmse,0.5078,,,471
ellipse,tfidf,lopo,race_ethnicity,Hispanic/Latino,mean_human,3.0659,,,4635
ellipse,tfidf,lopo,race_ethnicity,Hispanic/Latino,mean_machine,3.0685,,,4635
ellipse,tfidf,lopo,race_ethnicity,Hispanic/Latino,mean_gap,0.0026,,,4635
ellipse,tfidf,lopo,race_ethnicity,Hispanic/Latino,smd,0.0047,,,4635
ellipse,tfidf,lopo,race_ethnicity,Hispanic/Latino,qwk,0.591,,,4635
ellipse,tfidf,lopo,race_ethnicity,Hispanic/Latino,exact,0.4032,,,4635
ellipse,tfidf,lopo,race_ethnicity,Hispanic/Latino,pearson_r,0.6565,,,4635
ellipse,tfidf,lopo,race_ethnicity,Hispanic/Latino,rmse,0.4755,,,4635
ellipse,tfidf,lopo,race_ethnicity,Black/African American,mean_human,3.1951,,,515
ellipse,tfidf,lopo,race_ethnicity,Black/African American,mean_machine,3.1896,,,515
ellipse,tfidf,lopo,race_ethnicity,Black/African American,mean_gap,-0.0056,,,515
ellipse,tfidf,lopo,race_ethnicity,Black/African American,smd,-0.0105,,,515
ellipse,tfidf,lopo,race_ethnicity,Black/African American,qwk,0.5314,,,515
ellipse,tfidf,lopo,race_ethnicity,Black/African American,exact,0.3942,,,515
ellipse,tfidf,lopo,race_ethnicity,Black/African American,pearson_r,0.5891,,,515
ellipse,tfidf,lopo,race_ethnicity,Black/African American,rmse,0.5039,,,515
ellipse,tfidf,lopo,race_ethnicity,Asian/Pacific Islander,mean_human,3.2298,,,792
ellipse,tfidf,lopo,race_ethnicity,Asian/Pacific Islander,mean_machine,3.2078,,,792
ellipse,tfidf,lopo,race_ethnicity,Asian/Pacific Islander,mean_gap,-0.022,,,792
ellipse,tfidf,lopo,race_ethnicity,Asian/Pacific Islander,smd,-0.0407,,,792
ellipse,tfidf,lopo,race_ethnicity,Asian/Pacific Islander,qwk,0.5656,,,792
ellipse,tfidf,lopo,race_ethnicity,Asian/Pacific Islander,exact,0.3788,,,792
ellipse,tfidf,lopo,race_ethnicity,Asian/Pacific Islander,pearson_r,0.6298,,,792
ellipse,tfidf,lopo,race_ethnicity,Asian/Pacific Islander,rmse,0.5009,,,792
ellipse,tfidf,lopo,race_ethnicity,Hispanic/Latino - White,raw_differential,0.0385,-0.0094,0.089,4635
ellipse,tfidf,lopo,race_ethnicity,Hispanic/Latino - White,conditional_differential,-0.0139,-0.0461,0.0178,4635
