institution,unitid,page_type,original_url,timestamp,ai_addressed,n_ai_terms,text_len,prohibition,prohibition_present,detector_surveillance,detector_surveillance_present,misconduct_framing,misconduct_framing_present,sanction,sanction_present,permitted_use,permitted_use_present,disclosure,disclosure_present,appeal,appeal_present,l2_protection,l2_protection_present,restrictive_idx,procedural_idx,net_restrictiveness,ai_governance_intensity
Toronto Metropolitan University,9000007,integrity,https://www.torontomu.ca/academicintegrity/,20230805033825,1,1,383,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Toronto Metropolitan University,9000007,integrity,https://www.torontomu.ca/academicintegrity/,20230928032949,1,1,500,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Toronto Metropolitan University,9000007,integrity,https://www.torontomu.ca/academicintegrity/,20240116212236,1,5,420,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Toronto Metropolitan University,9000007,integrity,https://www.torontomu.ca/academicintegrity/,20240131073907,1,5,420,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Toronto Metropolitan University,9000007,integrity,https://www.torontomu.ca/academicintegrity/,20240410144541,1,5,420,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Toronto Metropolitan University,9000007,integrity,https://www.torontomu.ca/academicintegrity/,20240713224116,1,5,421,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Toronto Metropolitan University,9000007,integrity,https://www.torontomu.ca/academicintegrity/,20240811163149,1,5,424,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Toronto Metropolitan University,9000007,integrity,https://www.torontomu.ca/academicintegrity/,20240903204558,1,5,424,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Toronto Metropolitan University,9000007,integrity,https://www.torontomu.ca/academicintegrity/,20241113001352,1,5,561,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Toronto Metropolitan University,9000007,integrity,https://www.torontomu.ca/academicintegrity/,20241203111612,1,5,561,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
