draw,w_achievement,w_grad,w_quality,w_growth,n_identified,mean_poverty_identified,share_identified_top_pov_quartile
183,0.42962945312083567,0.1729049982924901,0.2143677631750127,0.18309778541166147,4668,0.7606182834151836,0.4723650385604113
184,0.48854336609315946,0.11937438382570799,0.07104306593089117,0.32103918415024146,5022,0.7615231346100043,0.46336121067303865
185,0.3928605703066798,0.2520086778223038,0.22806811431112292,0.12706263755989344,4619,0.7628012684659684,0.47802554665512015
186,0.25613979725762914,0.4139471078571521,0.2557986027032857,0.07411449218193297,4571,0.7586584842960021,0.47451323561583897
187,0.4834470668789965,0.08100573377692255,0.08917518593965967,0.3463720134044212,4981,0.757055246052931,0.4525195743826541
188,0.40230648432515026,0.23683899814365333,0.06185673196000818,0.2989977855711882,5115,0.7624374335779753,0.4633431085043988
189,0.34592681842335665,0.10170953391468138,0.17554566959419277,0.3768179780677692,4882,0.7485462857283773,0.43752560426054893
190,0.30151610003556195,0.049660004235487984,0.22760230825787012,0.4212215874710799,4846,0.7387481191266528,0.418695831613702
191,0.280784222283417,0.2533298652820947,0.060379544188848104,0.4055063682456401,5242,0.7462837379997295,0.4250286150324304
192,0.5172692968278976,0.06990325428414733,0.11072324306706564,0.30210420582088937,4883,0.7594839336401297,0.46201105877534304
193,0.3925620818613479,0.29551624852996305,0.19320874091696272,0.11871292869172631,4681,0.7673342535612545,0.48728904080324714
194,0.7377148330471356,0.00817500085887504,0.12019837988746859,0.13391178620652067,4668,0.7613371729758032,0.4708654670094259
195,0.4868591740663834,0.005943191006528776,0.3364553123254941,0.17074232260159375,4585,0.7483894063398855,0.4477644492911668
196,0.36104460295770824,0.15399006444400404,0.2789308856910069,0.20603444690728073,4614,0.7526292732639256,0.4568703944516688
197,0.41172863379158503,0.11549478877493272,0.27111071723617297,0.20166586019730934,4620,0.7535276210618382,0.4582251082251082
198,0.27683672492378086,0.2731349763713854,0.2292841306494703,0.22074416805536345,4721,0.7568184802147221,0.46346113111628895
199,0.2676252619431082,0.1347164369912171,0.129614779646629,0.46804352141904565,5078,0.741034985807368,0.4186687672311934
200,0.4553033869489251,0.18209492879740077,0.07439343684226445,0.2882082474114096,5023,0.7644971922221131,0.4690424049372885
201,0.6146654257823533,0.032205343053621716,0.15366318683003066,0.19946604433399434,4686,0.7591040554871751,0.46372172428510455
202,0.4378720826044889,0.23374647760750722,0.0882320356858235,0.24014940410218036,4979,0.7691294061544652,0.481221128740711
203,0.6678080478361128,0.00620788393325653,0.13896041302597423,0.18702365520465639,4685,0.7575989613734198,0.46168623265741726
204,0.2907983079601813,0.2442239409901572,0.11051330252027626,0.35446444852938525,5065,0.7516185674567334,0.4412635735439289
205,0.3942957245982734,0.13620771460782943,0.09207281403818372,0.3774237467557136,5049,0.7534963122112092,0.4454347395523866
206,0.6824029357764889,0.1107504580709713,0.11333731127319131,0.0935092948793485,4671,0.7724233476455784,0.49368443588096766
207,0.4124439711938199,0.1033157713632374,0.15664281482589598,0.32759744261704676,4858,0.7546821342565987,0.4510086455331412
208,0.3751283776661815,0.01471977790678356,0.11112758705343728,0.4990242573735977,5073,0.7373345256713499,0.413364872856298
209,0.2355649046090903,0.2256024989834035,0.10083848100778323,0.43799411539972294,5178,0.7412906979214078,0.41695635380455776
210,0.42539975643862704,0.20868514917221098,0.11801688615251976,0.24789820823664216,4899,0.7654957796768033,0.4745866503368034
211,0.1967523707833607,0.2553826781438084,0.20866354938852474,0.3392014016843062,4874,0.7457780951048564,0.43331965531391053
212,0.36966757609181666,0.27412981645313805,0.047120956669383346,0.3090816507856621,5190,0.7606571985282365,0.45838150289017343
213,0.6015881619367166,0.1356717455225936,0.2626273578201863,0.00011273472050338948,4555,0.7635317553802395,0.48386388583973655
214,0.5268055874491947,0.12256514312059055,0.20442444841504423,0.14620482101517057,4633,0.7616589400742132,0.4739909345996115
215,0.38053036005219487,0.2937374199352825,0.20022501919487934,0.12550720081764336,4671,0.7662250550913434,0.48554913294797686
