state,ncessch,school_code,school_name,score,running,cutoff,treat,titlei,grad_rate,econ_disadv_share,achievement,enrollment,is_high,next_score,award,got_funds,sharpness
WA,530375002881,4565,Cascade Ridge Elementary,9.45,7.174999999999999,2.275,0,False,,0.0134228187919463,84.5,494.0,0.0,9.2,0.0,0,0.9989811512990321
WA,530081003152,4567,Camas High School,8.52,6.244999999999999,2.275,0,False,,0.1114982578397212,77.5,2163.0,1.0,8.85,0.0,0,0.9989811512990321
WA,530357002938,4568,Hockinson High School,8.95,6.674999999999999,2.275,0,False,,0.1266666666666666,64.5,675.0,1.0,8.8,0.0,0,0.9989811512990321
WA,530978003153,4569,White River High School,8.45,6.174999999999999,2.275,0,False,,0.2771535580524344,62.0,1189.0,1.0,7.9,0.0,0,0.9989811512990321
WA,530282003154,4570,Todd Beamer High School,3.85,1.5750000000000002,2.275,0,False,,0.6077844311377245,39.5,1496.0,1.0,3.85,0.0,0,0.9989811512990321
WA,530042002939,4571,Northern Heights Elementary Schl,3.75,1.475,2.275,0,False,,0.3649289099526066,44.5,390.0,0.0,4.65,0.0,0,0.9989811512990321
WA,530024002940,4573,Pioneer Elementary,4.7,2.4250000000000003,2.275,0,False,,0.3444816053511705,59.0,578.0,0.0,4.0,0.0,0,0.9989811512990321
WA,530447002947,4574,Mt. Solo Middle School,7.35,5.074999999999999,2.275,0,False,,0.5151515151515151,53.5,456.0,0.0,5.8,0.0,0,0.9989811512990321
WA,530870003155,4575,Angelo Giaudrone Middle School,1.8,-0.47499999999999987,2.275,1,True,,0.8088235294117647,33.5,685.0,0.0,1.8,34548.0,1,0.9989811512990321
WA,530426003156,4576,Cougar Creek Elementary School,4.3,2.025,2.275,0,False,,0.3715596330275229,55.5,389.0,0.0,3.55,0.0,0,0.9989811512990321
WA,530495003157,4577,Michael Anderson Elementary School,8.5,6.225,2.275,0,False,,0.2748538011695906,59.5,482.0,0.0,8.3,0.0,0,0.9989811512990321
WA,530048003158,4578,Cougar Mountain Middle School,5.4,3.1250000000000004,2.275,0,False,,0.5246422893481717,50.5,625.0,0.0,5.85,0.0,0,0.9989811512990321
WA,530270003159,4579,York Elementary School,5.35,3.0749999999999997,2.275,0,True,,0.4182509505703422,58.5,505.0,0.0,4.4,0.0,0,0.9989811512990321
WA,530396002799,4581,Millennium Elementary School,3.8,1.525,2.275,0,True,,0.7329376854599406,56.0,595.0,0.0,2.5,0.0,0,0.9989811512990321
WA,530288003161,4582,Columbia Junior High School,4.6,2.3249999999999997,2.275,0,False,,0.4758364312267658,42.0,611.0,0.0,5.9,0.0,0,0.9989811512990321
WA,530543003162,4583,Odyssey Elementary,4.4,2.1250000000000004,2.275,0,True,,0.7091503267973857,42.0,520.0,0.0,2.9,0.0,0,0.9989811512990321
WA,530861002998,4585,Bonney Lake High School,7.15,4.875,2.275,0,False,,0.3281733746130031,58.5,1463.0,1.0,7.15,0.0,0,0.9989811512990321
WA,530790002990,4586,Olympic Middle School,2.5,0.2250000000000001,2.275,0,True,,0.7137931034482758,37.5,600.0,0.0,1.5,35788.0,1,0.9989811512990321
WA,530270002946,4587,Columbia Valley Elementary,5.85,3.5749999999999997,2.275,0,True,,0.4555555555555555,50.0,529.0,0.0,4.55,32089.0,1,0.9989811512990321
WA,530897003027,4588,Valley View Elementary,2.7,0.42500000000000027,2.275,0,True,,0.9678714859437751,44.0,527.0,0.0,2.9,29967.0,1,0.9989811512990321
WA,530927002944,4591,Thomas Jefferson Middle School,4.6,2.3249999999999997,2.275,0,False,,0.2713085234093637,59.5,884.0,0.0,3.55,0.0,0,0.9989811512990321
WA,530375002981,4592,Newcastle Elementary School,9.4,7.125,2.275,0,True,,0.0814332247557003,78.0,617.0,0.0,8.95,0.0,0,0.9989811512990321
WA,530297003013,4593,Freeman Middle School,5.2,2.9250000000000003,2.275,0,False,,0.2767857142857143,60.5,235.0,0.0,3.78,0.0,0,0.9989811512990321
WA,530513003009,4594,Fryelands Elementary,4.15,1.8750000000000004,2.275,0,False,,0.3835616438356164,44.0,423.0,0.0,3.75,0.0,0,0.9989811512990321
WA,530657002950,4595,Maya Angelou Elementary,4.9,2.6250000000000004,2.275,0,True,,0.5628517823639775,46.0,899.0,0.0,3.55,0.0,0,0.9989811512990321
WA,530834003011,5004,Saratoga School,4.45,2.1750000000000003,2.275,0,False,,0.1392405063291139,44.5,159.0,1.0,5.25,0.0,0,0.9989811512990321
WA,530024003008,5010,Haller Middle School,5.65,3.3750000000000004,2.275,0,False,,0.3066037735849056,58.5,641.0,0.0,3.8,0.0,0,0.9989811512990321
WA,530804002980,5015,Cascade View Elementary School,9.4,7.125,2.275,0,False,,0.0460992907801418,78.0,564.0,0.0,9.45,0.0,0,0.9989811512990321
WA,530396002986,5016,Mill Creek Middle School,1.4,-0.875,2.275,1,True,,0.7454545454545455,33.5,888.0,0.0,1.1,47842.0,1,0.9989811512990321
WA,531014003016,5018,Lackamas Elementary,3.27,0.9950000000000001,2.275,0,True,,0.4805194805194805,47.0,388.0,0.0,2.28,31081.0,1,0.9989811512990321
WA,530657002951,5020,Virgie Robinson Elementary,5.35,3.0749999999999997,2.275,0,True,,0.9689578713968958,31.0,747.0,0.0,3.8,0.0,0,0.9989811512990321
WA,530057003020,5021,Blaine Home Connection,2.2,-0.07499999999999973,2.275,1,False,,0.2,34.5,54.0,0.0,3.95,0.0,0,0.9989811512990321
WA,530141003000,5027,General William H. Harrison Preparatory School,6.32,4.045,2.275,0,False,,0.6790890269151139,59.5,724.0,1.0,5.6,0.0,0,0.9989811512990321
WA,530282002964,5029,Sequoyah Middle School,2.95,0.6750000000000003,2.275,0,False,,0.7495621716287215,36.5,591.0,0.0,2.8,0.0,0,0.9989811512990321
WA,530183002942,5030,Olympic Peninsula HomeConnection,3.65,1.375,2.275,0,False,,0.5454545454545454,34.5,120.0,1.0,2.0,0.0,0,0.9989811512990321
WA,530873002956,5032,Taholah Elementary & Middle School,1.55,-0.7249999999999999,2.275,1,True,,0.7323943661971831,7.5,111.0,0.0,1.28,50542.0,1,0.9989811512990321
WA,530048003003,5033,Graham Kapowsin High School,6.5,4.225,2.275,0,False,,0.4004376367614879,53.5,1912.0,1.0,6.2,0.0,0,0.9989811512990321
WA,530123003014,5035,HomeWorks,4.6,2.3249999999999997,2.275,0,False,,0.4166666666666667,54.5,85.0,1.0,2.83,0.0,0,0.9989811512990321
WA,530030002978,5037,Auburn Mountainview High School,6.45,4.175000000000001,2.275,0,True,,0.4611528822055137,54.5,1645.0,1.0,5.5,0.0,0,0.9989811512990321
WA,530513003040,5040,Park Place Middle School,5.2,2.9250000000000003,2.275,0,False,,0.3910171730515192,50.0,828.0,0.0,4.75,0.0,0,0.9989811512990321
WA,530771003046,5046,Private School Services,1.45,-0.825,2.275,1,False,,0.4285714285714285,24.5,192.0,1.0,1.45,0.0,0,0.9989811512990321
WA,530501003036,5047,Meridian Parent Partnership Program,5.68,3.405,2.275,0,False,,0.1970802919708029,49.5,236.0,0.0,7.05,0.0,0,0.9989811512990321
WA,530867003037,5049,Sierra Vista Middle School,3.7,1.4250000000000003,2.275,0,True,,0.8741450068399452,39.0,760.0,0.0,2.1,0.0,0,0.9989811512990321
WA,530030003063,5051,Lakeland Hills Elementary,8.15,5.875,2.275,0,False,,0.2415730337078651,79.5,660.0,0.0,7.75,0.0,0,0.9989811512990321
WA,531014003068,5052,Ridgeline Middle School,6.83,4.555,2.275,0,False,,0.4130081300813008,54.0,675.0,0.0,5.7,0.0,0,0.9989811512990321
WA,530423003077,5053,Rosa Parks Elementary,9.9,7.625,2.275,0,False,,0.0356083086053412,90.0,649.0,0.0,9.9,0.0,0,0.9989811512990321
WA,530081003066,5054,Liberty Middle School,8.95,6.674999999999999,2.275,0,False,,0.1837837837837838,76.0,818.0,0.0,7.3,0.0,0,0.9989811512990321
WA,530375003067,5056,Grand Ridge Elementary,9.95,7.674999999999999,2.275,0,False,,0.0777777777777777,77.5,725.0,0.0,9.95,0.0,0,0.9989811512990321
WA,530423003070,5057,Renaissance School of Art and Reasoning,9.28,7.004999999999999,2.275,0,False,,0.0224719101123595,82.0,92.0,0.0,8.5,0.0,0,0.9989811512990321
WA,530870003064,5066,Helen Stafford Elementary School,5.65,3.3750000000000004,2.275,0,True,,0.8076923076923077,50.0,536.0,0.0,5.0,0.0,0,0.9989811512990321
WA,530723003073,5070,Renton Academy,1.45,-0.825,2.275,1,True,,0.84,10.0,39.0,1.0,,0.0,0,0.9989811512990321
WA,530780003074,5075,Selkirk Elementary School,4.85,2.5749999999999997,2.275,0,True,,0.5645161290322581,67.0,144.0,0.0,5.78,0.0,0,0.9989811512990321
WA,530618003205,5078,Olympia Regional Learning Academy,4.62,2.345,2.275,0,False,,0.3888888888888889,39.75,58.0,1.0,4.98,0.0,0,0.9989811512990321
WA,530030003174,5082,Arthur Jacobsen Elementary,5.55,3.275,2.275,0,True,,0.5494880546075085,56.0,590.0,0.0,3.4,0.0,0,0.9989811512990321
WA,530576003201,5085,Kingston High School,6.65,4.375,2.275,0,False,,0.3313609467455621,59.5,657.0,1.0,6.65,0.0,0,0.9989811512990321
