state,state_abbr,board_regime,board_exists,csso_regime,n_voting,term_years,constitutional,frac_elected_public,student_voting,teacher_voting,student_present,teacher_present,student_voice,teacher_voice,auth_standards_board,auth_licensure_board,rep_index,rep_index_equal,rep_index_altWA,auth_index,gap,rating_category,algorithmic_grade,summative_any,naep_g4_math_equiv,enrollment_2021,pct_white_2021,pct_students_of_color,pct_frl_2122,sel_board_raw,sel_csso_raw,n_voting_raw,term_raw,established_raw,auth_licensure,auth_standards
North Dakota,ND,none,0,elected,,,,0.0,0,0,0,0,0.0,0.0,,,,,,,,FederalTiers,0,0,250.0,116864,74.3,25.700000000000003,21.9,None,Nonpartisan ballot,NA,NA,NA,PSC,CSSO
Ohio,OH,hybrid,1,board,19.0,4.0,1.0,0.5789,0,0,0,0,0.0,0.0,0.0,1.0,0.28945,0.19296666666666665,0.28945,0.6666666666666666,0.37721666666666664,Star,1,1,223.0,1683612,67.4,32.599999999999994,40.9,11 elected by nonpartisan ballot; governor appoints 8 with advice and consent of Senate,SBE appoints,19,4,Constitution,SBE,SEA
Oklahoma,OK,governor,1,elected,7.0,4.0,1.0,0.0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,A-F,1,1,245.0,698696,46.3,53.7,55.9,"Governor appoints, with advice and consent of Senate",Partisan ballot,7,4,Constitution,SBE,SBE
Oregon,OR,governor,1,governor,7.0,4.0,0.0,0.0,0,0,1,1,0.5,0.5,1.0,0.5,0.25,0.3333333333333333,0.25,0.5,0.25,FederalTiers,0,0,245.0,576201,59.5,40.5,23.4,Governor appoints; Senate confirms; SBE appoints student,Governor serves as superintendent of education; appoints deputy,7 plus 6 nonvoting members including 2 students and a teacher,4,Statute,PSC,SBE
Pennsylvania,PA,governor,1,governor,21.0,6.0,0.0,0.0,0,0,1,0,0.5,0.0,1.0,1.0,0.125,0.16666666666666666,0.125,0.6666666666666666,0.5416666666666666,FederalTiers,0,0,250.0,1695092,62.3,37.7,52.1,"Governor appoints 17, Senate confirms; General Assembly appoints 4",Governor appoints,21 plus 4 nonvoting students,6,Statute,SBE,SBE
Rhode Island,RI,governor,1,board,17.0,3.0,0.0,0.0,0,0,1,0,0.5,0.0,1.0,1.0,0.125,0.16666666666666666,0.125,0.6666666666666666,0.5416666666666666,Star,1,1,255.0,138566,53.3,46.7,40.8,Governor appoints with advice and consent Senate,"Council appoints, with advice and consent of SBE",17 plus 1 nonvoting student,3,Statute,SBE,SBE
South Carolina,SC,legislative,1,elected,17.0,4.0,1.0,0.0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,Descriptive,0,1,238.0,780878,48.4,51.6,62.8,"Legislature appoints 16, governor appoints 1",Partisan ballot,17,4,Constitution,SBE,SBE
South Dakota,SD,governor,1,governor,7.0,4.0,0.0,0.0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,Index,1,1,245.0,141307,71.5,28.5,28.7,Governor appoints with consent of the Senate,Governor appoints,7,4,Statute,SBE,SBE
Tennessee,TN,governor,1,governor,10.0,5.0,0.0,0.0,1,1,1,1,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.5,0.6666666666666666,0.16666666666666663,A-F,1,1,244.0,996709,59.7,40.3,29.5,Governor appoints; General Assembly confirms,Governor appoints,"10, including 1 student and teacher",5,Statute,SBE,SBE
Texas,TX,elected,1,governor,15.0,4.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.5,0.5,0.3333333333333333,0.5,0.5,0.0,A-F,1,1,247.0,5428613,26.3,73.7,60.6,Partisan ballot,Governor appoints,15,4,Constitution,PSC,SEA
Utah,UT,elected,1,board,15.0,4.0,1.0,1.0,0,0,0,0,0.0,0.0,1.0,1.0,0.5,0.3333333333333333,0.5,1.0,0.5,FederalTiers,0,0,246.0,690934,72.3,27.700000000000003,27.0,Partisan ballot,SBE appoints,15,4,Constitution,SBE,SBE
Vermont,VT,governor,1,governor,9.0,6.0,0.0,0.0,1,0,1,0,1.0,0.0,1.0,0.5,0.25,0.3333333333333333,0.25,0.5,0.25,Descriptive,0,1,243.0,83975,88.7,11.299999999999997,34.4,Governor appoints 9 voting members and 2 nonvoting members with consent of Senate,Governor appoints from 3 nominees SBE provides,"9 voting members, including 1 voting student, plus 1 nonvoting student and the CSSO",6,Statute,PSC,SBE
Virginia,VA,governor,1,governor,9.0,4.0,1.0,0.0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,FederalTiers,0,0,219.0,1249815,45.8,54.2,46.4,Governor appoints; General Assembly confirms,Governor appoints,9,4,Constitution,SBE,SBE
Washington,WA,hybrid,1,elected,16.0,4.0,0.0,0.0,1,0,1,0,1.0,0.0,0.0,0.5,0.25,0.3333333333333333,0.4375,0.16666666666666666,-0.08333333333333334,Index,1,1,240.0,1081835,50.0,50.0,42.7,Local school board members elect 5; governor appoints and Senate confirms 7; student group selects 2 students; private schools elect 1; CSSO also serves,Nonpartisan ballot,"16, including 2 voting students",4,Statute,PSC,CSSO
West Virginia,WV,governor,1,board,9.0,9.0,1.0,0.0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,Descriptive,0,1,238.0,252720,89.0,11.0,49.8,"Governor appoints 9, with consent of Senate; 3 nonvoting ex-officio members",SBE appoints,9,9,Constitution,SBE,SBE
Wisconsin,WI,none,0,elected,,,,0.0,0,0,0,0,0.0,0.0,,,,,,,,Index,1,1,249.0,829359,67.9,32.099999999999994,39.5,None,Nonpartisan ballot,NA,NA,None,SEA,CSSO
Wyoming,WY,governor,1,elected,12.0,6.0,0.0,0.0,0,1,0,1,0.0,1.0,1.0,0.5,0.25,0.3333333333333333,0.25,0.5,0.25,Descriptive,0,1,246.0,93093,76.9,23.099999999999994,28.3,Governor appoints; Senate approves,Partisan ballot,"12, including 1 teacher",6,Statute,PSC,SBE
District of Columbia,DC,elected,1,executive,9.0,4.0,0.0,1.0,0,0,1,0,0.5,0.0,1.0,0.0,0.625,0.5,0.625,0.3333333333333333,-0.2916666666666667,Index,1,1,244.0,88908,13.1,86.9,46.5,Nonpartisan ballot,Mayor appoints chancellor and CSSO,9 plus 4 students (vote recorded w/o weight),4,Statute,CSSO,SBE
